"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 04 16:08:16 BDT 2023","Sat Nov 04 16:08:28 BDT 2023","11657","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.bookDetailsPage_test","testcases.bookDetailsPage_test","goToBookDetailsPage","goToBookDetailsPage","Visiting book details page"
"passed","Sat Nov 04 16:05:48 BDT 2023","Sat Nov 04 16:05:53 BDT 2023","4828","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.homePage_test","testcases.homePage_test","testHomepageUrl","testHomepageUrl","Visiting the home page"
"passed","Sat Nov 04 16:07:19 BDT 2023","Sat Nov 04 16:07:45 BDT 2023","26005","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.writersPage_test","testcases.writersPage_test","searchPreferredWriter","searchPreferredWriter","Selecting preferred writer"
"passed","Sat Nov 04 16:06:19 BDT 2023","Sat Nov 04 16:06:22 BDT 2023","2778","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.loginPage_test","testcases.loginPage_test","testLoginWithoutInvalidCredentials","testLoginWithoutInvalidCredentials","Testing login functionality with invalid credentials"
"passed","Sat Nov 04 16:06:54 BDT 2023","Sat Nov 04 16:07:01 BDT 2023","7309","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.loginPage_test","testcases.loginPage_test","passwordResetConfirmation","passwordResetConfirmation","Checking the password reset functionality"
"passed","Sat Nov 04 16:06:33 BDT 2023","Sat Nov 04 16:06:35 BDT 2023","2570","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.loginPage_test","testcases.loginPage_test","testLoginWithoutInvalidCredentials","testLoginWithoutInvalidCredentials","Testing login functionality with invalid credentials"
"passed","Sat Nov 04 16:07:55 BDT 2023","Sat Nov 04 16:08:14 BDT 2023","19430","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.writersPage_test","testcases.writersPage_test","selectBook","selectBook","Selecting preferred book"
"passed","Sat Nov 04 16:06:15 BDT 2023","Sat Nov 04 16:06:15 BDT 2023","274","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.loginPage_test","testcases.loginPage_test","checkHeading","checkHeading","Visiting the login page"
"passed","Sat Nov 04 16:07:15 BDT 2023","Sat Nov 04 16:07:19 BDT 2023","3612","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.writersPage_test","testcases.writersPage_test","gotoNextPage","gotoNextPage","Visiting next page"
"passed","Sat Nov 04 16:07:14 BDT 2023","Sat Nov 04 16:07:15 BDT 2023","1192","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.writersPage_test","testcases.writersPage_test","gotoWritersPage","gotoWritersPage","Writers page visit"
"passed","Sat Nov 04 16:07:45 BDT 2023","Sat Nov 04 16:07:55 BDT 2023","10073","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.writersPage_test","testcases.writersPage_test","countAndGetBooksName","countAndGetBooksName","Book information"
"passed","Sat Nov 04 16:07:11 BDT 2023","Sat Nov 04 16:07:14 BDT 2023","2476","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.writersPage_test","testcases.writersPage_test","hoverOnWriter","hoverOnWriter","Writer option validation"
"passed","Sat Nov 04 16:06:50 BDT 2023","Sat Nov 04 16:06:52 BDT 2023","1811","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.loginPage_test","testcases.loginPage_test","isForgetPasswordButtonWorking","isForgetPasswordButtonWorking","Checking the forget password button"
"passed","Sat Nov 04 16:08:28 BDT 2023","Sat Nov 04 16:08:28 BDT 2023","437","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.bookDetailsPage_test","testcases.bookDetailsPage_test","checkOrderButtonPresence","checkOrderButtonPresence","Order button's visibility"
"passed","Sat Nov 04 16:06:02 BDT 2023","Sat Nov 04 16:06:09 BDT 2023","6957","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.homePage_test","testcases.homePage_test","testNecessaryLinks","testNecessaryLinks","Testing linked pages"
"passed","Sat Nov 04 16:08:34 BDT 2023","Sat Nov 04 16:09:18 BDT 2023","44356","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.bookDetailsPage_test","testcases.bookDetailsPage_test","orderConfirmation","orderConfirmation","Filling billing info and logging out"
"passed","Sat Nov 04 16:06:37 BDT 2023","Sat Nov 04 16:06:40 BDT 2023","2623","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.loginPage_test","testcases.loginPage_test","testLoginWithoutInvalidCredentials","testLoginWithoutInvalidCredentials","Testing login functionality with invalid credentials"
"passed","Sat Nov 04 16:06:41 BDT 2023","Sat Nov 04 16:06:48 BDT 2023","6840","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.loginPage_test","testcases.loginPage_test","loginWithValidCredential","loginWithValidCredential","Testing login functionality with valid credentials"
"passed","Sat Nov 04 16:06:29 BDT 2023","Sat Nov 04 16:06:31 BDT 2023","2425","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.loginPage_test","testcases.loginPage_test","testLoginWithoutInvalidCredentials","testLoginWithoutInvalidCredentials","Testing login functionality with invalid credentials"
"passed","Sat Nov 04 16:05:53 BDT 2023","Sat Nov 04 16:05:55 BDT 2023","1740","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.homePage_test","testcases.homePage_test","testHomepageTitle","testHomepageTitle","Checking the home page title"
"passed","Sat Nov 04 16:06:23 BDT 2023","Sat Nov 04 16:06:27 BDT 2023","3501","All Test Suite","D:/SQA/Tests/selenium_automation_wafilife/selenium_automation_wafilife/src/test/java/testcases","testcases.loginPage_test","testcases.loginPage_test","testLoginWithoutInvalidCredentials","testLoginWithoutInvalidCredentials","Testing login functionality with invalid credentials"
